Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A871893,,1/1/2023 16:17,23-Jan,7/1/2021,Return to Owner,Field,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black
A857754,*Newt,1/1/2023 16:17,23-Jan,4/27/2022,Return to Owner,Field,Dog,Neutered Male,8 months,Pit Bull Mix,Tan
A869741,*Melbourne,1/2/2023 11:38,23-Jan,10/23/2022,Adoption,Foster,Dog,Neutered Male,2 months,Australian Shepherd Mix,Black/White
A869944,*Dreidel,1/2/2023 11:41,23-Jan,10/25/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,White/Cream
A870224,*Fir,1/2/2023 11:47,23-Jan,10/11/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black
A871756,,1/3/2023 9:35,23-Jan,6/29/2021,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby/White
A871738,,1/3/2023 9:35,23-Jan,12/29/2020,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A870750,Agnes,1/3/2023 11:23,23-Jan,12/12/2020,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull,Fawn/White
A861169,Angel,1/3/2023 12:29,23-Jan,6/26/2021,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Brown
A867727,*Lady Bird,1/3/2023 12:32,23-Jan,10/23/2018,Adoption,,Dog,Spayed Female,4 years,Blue Lacy Mix,Black
A859851,Skye,1/3/2023 13:07,23-Jan,4/20/2022,Adoption,,Dog,Spayed Female,8 months,Labrador Retriever,Black/White
A871823,Lola,1/3/2023 14:20,23-Jan,2/20/2013,Adoption,,Dog,Spayed Female,9 years,American Staffordshire Terrier/Mastiff,Blue/White
A869866,*Sturge,1/3/2023 14:46,23-Jan,11/27/2021,Transfer,Partner,Dog,Intact Male,1 year,Anatol Shepherd/Great Pyrenees,White/Tricolor
A866334,Altair,1/3/2023 15:22,23-Jan,11/28/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Blue/White
A869024,Bello,1/3/2023 15:33,23-Jan,11/11/2017,Rto-Adopt,,Dog,Neutered Male,5 years,Pit Bull,Brown/White
A871593,A871593,1/3/2023 15:39,23-Jan,10/27/2022,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,White
A871420,Finn,1/3/2023 15:53,23-Jan,6/23/2022,Adoption,,Dog,Neutered Male,6 months,Pit Bull,White/Black
A871804,*Carl,1/3/2023 15:59,23-Jan,8/30/2022,Adoption,,Other,Intact Male,4 months,Guinea Pig,White/Gray
A871803,*Lenny,1/3/2023 16:00,23-Jan,8/30/2022,Adoption,,Other,Intact Male,4 months,Guinea Pig,White/Brown
A871602,A871602,1/3/2023 16:03,23-Jan,10/17/2022,Adoption,,Dog,Neutered Male,2 months,German Shepherd,Black/Brown
A871814,Phinneas,1/3/2023 16:12,23-Jan,10/15/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White
A871706,Ashe,1/3/2023 16:22,23-Jan,5/1/2022,Adoption,,Cat,Neutered Male,8 months,Domestic Shorthair,Brown Tabby
A871328,Chocoa,1/3/2023 16:33,23-Jan,11/1/2022,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever/Australian Cattle Dog,Black
A871323,Ollie,1/3/2023 16:34,23-Jan,11/1/2022,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/Australian Cattle Dog,White
A871598,A871598,1/3/2023 16:51,23-Jan,10/12/2022,Adoption,,Dog,Neutered Male,2 months,Miniature Schnauzer Mix,Black/Tan
A871707,Ray,1/3/2023 17:10,23-Jan,5/1/2022,Adoption,,Cat,Neutered Male,8 months,Domestic Shorthair,White/Brown Tabby
A871798,A871798,1/3/2023 17:22,23-Jan,12/30/2020,Transfer,Partner,Dog,Intact Male,2 years,Mastiff,Brown Brindle/Black
A851106,*Portabella,1/3/2023 17:23,23-Jan,2/6/2020,Adoption,,Dog,Spayed Female,2 years,Pit Bull,Blue/White
